Club,Estadio_DB,Asistencia_Media
Real Madrid,Estadio Santiago Bernabéu,72692
Atlético de Madrid,Riyadh Air Metropolitano,60883
Real Betis,Estadio Benito Villamarín,51542
Athletic Club,San Mamés,48420
FC Barcelona,Estadi Olímpic Lluís Companys,45953
Valencia CF,Mestalla,43042
Sevilla FC,Estadio Ramón Sánchez-Pizjuán,35619
Real Sociedad,Anoeta,30499
RCD Espanyol,RCDE Stadium,25640
UD Las Palmas,Estadio Gran Canaria,23010
RC Celta,Estadio Abanca Balaídos,21504
CA Osasuna,Estadio El Sadar,20476
Real Valladolid,Estadio José Zorrilla,19811
RCD Mallorca,Estadi Mallorca Son Moix,18502
Villarreal CF,Estadio de la Cerámica,18266
Deportivo Alavés,Estadio de Mendizorroza,17318
Rayo Vallecano,Estadio de Vallecas,12879
Girona FC,Estadi Montilivi,11657
Getafe CF,Coliseum,11469
CD Leganés,Estadio Municipal Butarque,11135
