Estadio_Oficial,Latitud,Longitud
Estadio de Mendizorroza,42.837111,-2.688044
Estadio de San Mamés,43.264205,-2.949369
Estadio Metropolitano,40.436111,-3.599444
Estadi Olímpic Lluís Companys,41.364722,2.155556
Estadio de Balaídos,42.211861,-8.740328
RCDE Stadium,41.347861,2.075667
Estadio Coliseum,40.325556,-3.714722
Estadi Montilivi,41.961389,2.828611
Estadio de Gran Canaria,28.1,-15.456667
Estadio Municipal de Butarque,40.3404,-3.7607
Estadi Mallorca Son Moix,39.59,2.63
Estadio El Sadar,42.796667,-1.636944
Estadio de Vallecas,40.391944,-3.658961
Estadio Benito Villamarín,37.356403,-5.981611
Estadio Santiago Bernabéu,40.45306,-3.68835
Estadio de Anoeta,43.301378,-1.973617
Estadio José Zorrilla,41.644444,-4.761111
Estadio Ramón Sánchez-Pizjuán,37.383878,-5.970467
Estadio de Mestalla,39.474722,-0.358333
Estadio de la Cerámica,39.944167,-0.103611
